title,subtitle,ownership,he_has_read,no_dash_isbn,has_googlebooks_data,has_openbooks_data,authors,publisher,published_date,page_count,description,categories,category,subcategory,subjects,subject_places,googlebooks_link,openbooks_link,thumbnail_link,dewey_decimal_class
Left behind,a novel of the earth's last days,His,1,0842329129,1.0,1.0,Tim F. LaHaye;Jerry B. Jenkins,Tyndale House Pub,1998,468.0,"After millions of people around the world vanish in one moment, in what many claim to be the Rapture, Rayford Steele begins a search for the truth amidst global chaos",Fiction,Fiction,,Rayford Steele (Fictitious character);Rapture (Christian eschatology);Fiction;Protected DAISY;Accessible book;Christian fiction;In library;Popular Print Disabled Books,Illinois,https://www.googleapis.com/books/v1/volumes/W6kVfFePpP8C,https://openlibrary.org/books/OL24950551M/Left_behind,http://books.google.com/books/content?id=W6kVfFePpP8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,813/.54
Sophie's World,A Novel about the History of Philosophy,His,1,1857997220,1.0,1.0,Jostein Gaarder,Lawbook Company,1995,403.0,"The protagonists are Sophie Amundsen, a 14-year-old girl, and Alberto Knox, her philosophy teacher. The novel chronicles their metaphysical relationship as they study Western philosophy from its beginnings to the present. A bestseller in Norway.",Philosophy,Fiction,,Accessible book;Didactic fiction;Ficción;Fiction;Filosofía;Historia;History;Philosophy;Protected DAISY;In library,Norway,https://www.googleapis.com/books/v1/volumes/jbJ_PwAACAAJ,https://openlibrary.org/books/OL18459129M/Sophie's_world,,
A Thousand Splendid Suns,,His,0,9780747585893,1.0,,Khaled Hosseini,A&C Black,2008-09-18,419.0,"A riveting and powerful story of an unforgiving time, an unlikely friendship and an indestructible love",Fiction,Fiction,,,,https://www.googleapis.com/books/v1/volumes/3vo0NQbIN2YC,,http://books.google.com/books/content?id=3vo0NQbIN2YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
The Complete Fairy Tales (Routledge Classics),,His,0,0415285968,,1.0,Jacob and Grimm,Routledge,"September 18, 2003",,,,Fiction,,,,,https://openlibrary.org/books/OL7490080M/The_Complete_Fairy_Tales_(Routledge_Classics),https://covers.openlibrary.org/b/id/267021-S.jpg,
A short history of English literature,,His,0,014020072X,1.0,1.0,Ifor Evans;Bernard Bergonzi,Penguin (Non-Classics),1976,400.0,,History,Fiction,,,,https://www.googleapis.com/books/v1/volumes/uMuPmap-bicC,https://openlibrary.org/books/OL7350204M/A_Short_History_of_English_Literature_(Pelican),http://books.google.com/books/content?id=uMuPmap-bicC&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Life of Pi,A Novel,His,1,184195425X,1.0,1.0,Yann Martel,Edinburgh : Canongate,2003-01,428.0,"Since it won the 2002 Booker Prize, Life of Pi has gone on to sell nearly 2 million copies, it is the biggest selling winner of all time, and is widely regarded as a modern classic.It is a tale of disaster at sea. Both a boys' own adventure (for grown-ups) and a meditation on faith and the value of religious metaphor, it is one of the most extraordinary and original novels of recent times.In a new format, with a step-back cover, and with a new reading group guide, this is the ultimate edition of the book that is a perennial reading group favourite, and was recently featured in the Waterstone's list of the top 20 books of all time in the Daily Telegraph.",Fiction,Fiction,,,,https://www.googleapis.com/books/v1/volumes/uhW2MgEACAAJ,https://openlibrary.org/books/OL24636516M/Life_of_Pi,http://books.google.com/books/content?id=uhW2MgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The remains of the day,,His,0,0679731725,1.0,1.0,Kazuo Ishiguro,Vintage,1993,245.0,"An English butler reflects--sometimes bitterly, sometimes humorously--on his service to a lord between the two world wars and discovers doubts about his master's character and about the ultimate value of his own service to humanity",Fiction,Fiction,,Man Booker Prize Winner;award:man_booker_prize=1989;In library;Literature;Accessible book;Household employees;Butlers;Country homes;OverDrive;Domestics;Protected DAISY;Fiction;Internet Archive Wishlist,England,https://www.googleapis.com/books/v1/volumes/g7zlBFpuD0IC,https://openlibrary.org/books/OL1888730M/The_remains_of_the_day,http://books.google.com/books/content?id=g7zlBFpuD0IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,823/.914
Nineteen Eighty-four,,Hers,1,9780141036144,1.0,1.0,George Orwell,Penguin Books Limited,2008,325.0,"Renowned urban artist Shepard Fairey's new look for Orwell's classic dystopian tale One of Britain's most popular novels, George Orwell's Nineteen Eighty-Four is set in a society terrorised by a totalitarian ideology propagated by The Party. Winston Smith works for the Ministry of Truth in London, chief city of Airstrip One. Big Brother stares out from every poster, the Thought Police uncover every act of betrayal. When Winston finds love with Julia, he discovers that life does not have to be dull and deadening, and awakens to new possibilities. Despite the police helicopters that hover and circle overhead, Winston and Julia begin to question the Party; they are drawn towards conspiracy. Yet Big Brother will not tolerate dissent - even in the mind. For those with original thoughts they invented Room 101. . . Nineteen Eighty-Four is George Orwell's terrifying vision of a totalitarian future in which everything and everyone is slave to a tyrannical regime. The novel also coined many new words and phrases which regular appear in popular culture, such as 'Big Brother', 'thoughtcrime', 'doublethink' and 'Newspeak'.",Dystopian,Fiction,,,,https://www.googleapis.com/books/v1/volumes/OkhxPwAACAAJ,https://openlibrary.org/books/OL24329982M/1984,http://books.google.com/books/content?id=OkhxPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Crime and Punishment,"The Coulson Translation, Backgrounds and Sources, Essays in Criticism",His,0,0393956237,1.0,1.0,Fyodor Dostoyevsky;Jessie Senior Coulson;George Gibian,W. W. Norton,1989-01-01,694.0,"New footnotes have been added, based on discoveries by the leading Soviet Dostoevsky scholar, Sergei Belov. ""Backgrounds and Sources"", highly praised in the Second Edition, remains unaltered. Included are a detailed map of nineteenth-century St. Petersburg, selections from Dostoevsky's notebooks and letters, and a crucial passage from an early draft of his novel. Noteworthy among the several new ""Essays in Criticism"" are a little-known but important passage by Leo Tolstoy on Raskolnikov; an essay by Sergei Belov; observations by the Russian literary theoretician and scholar Mikhail Bakhtin; and an essay by the Nobel laureate Czeslaw Milosz. A Chronology of Dostoevsky's Life and a Selected Bibliography are also included.",Fiction,Fiction,,In library;English Translations;Russian literature;Accessible book;Novela psicológica;Fiction;OverDrive;Translations into Yiddish;Psychological fiction;German language;Murder;Fiction in Spanish;Mystery fiction;Classic Literature;Detective and mystery stories;Open Library Staff Picks;Guilt;open_syllabus_project;Novela policíaca;Crime;Social life and customs;Protected DAISY;Ficción;Murderers,Russia;Russia (Federation);Saint Petersburg;Saint Petersburg (Russia);San Petersburgo (Rusia),https://www.googleapis.com/books/v1/volumes/u9VlQgAACAAJ,https://openlibrary.org/books/OL22492108M/Crime_and_punishment,http://books.google.com/books/content?id=u9VlQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,891.73/3
Envisioning information,,His,1,9780961392116,,1.0,Edward R. Tufte,Graphics Press,2001,,,,Data Visualisation,,In library;Vision couleur;Visual communication;Image 3D;Cognitieve processen;Conception graphique;Communication visuelle;Communication;Beeldcommunicatie;Perception visuelle;Information visuelle;Visual perception;Image couleur;Représentation information;Long Now Manual for Civilization,,,https://openlibrary.org/books/OL14761094M/Envisioning_information,,302.23
The Visual Display of Quantitative Information,,His,1,9780961392147,1.0,1.0,Edward R. Tufte,Graphics Press,2001-01-01,197.0,Graphical practice. Theory of data graphics.,Mathematics,Data Visualisation,,Long Now Manual for Civilization,,https://www.googleapis.com/books/v1/volumes/GTd5oQEACAAJ,https://openlibrary.org/books/OL23782293M/The_visual_display_of_quantitative_information,http://books.google.com/books/content?id=GTd5oQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Now You See it,Simple Visualization Techniques for Quantitative Analysis,His,1,9780970601988,1.0,1.0,Stephen Few,Analytics Press,2009,327.0,"""Teaches simple, fundamental, and practical techniques that anyone can use to make sense of numbers."" - cover.",Business & Economics,Data Visualisation,,Statistics;Graphische Darstellung;Quantitative research;Statistik;Datenauswertung;Information visualization;Datenanalyse,,https://www.googleapis.com/books/v1/volumes/xw_qOwAACAAJ,https://openlibrary.org/books/OL24540172M/Now_you_see_it,http://books.google.com/books/content?id=xw_qOwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,001.4226
"Introduction to Biomedical Engineering Technology, Second Edition",,His,1,9781466508910,1.0,,Laurence J. Street,CRC Press,2011-11-02,391.0,"Medical devices are often very complex, but while there are differences in design from one manufacturer to another, the principles of operation and, more importantly, the physiological and anatomical characteristics on which they operate are universal. Introduction to Biomedical Engineering Technology, Second Edition explains the uses and applications of medical technology and the principles of medical equipment management to familiarize readers with their prospective work environment. Written by an experienced biomedical engineering technologist, the book describes the technological devices, various hardware, tools, and test equipment used in today’s health-care arena. Photographs of representative equipment; the technical, physiological, and anatomical basis for their function; and where they are commonly found in hospitals are detailed for a wide range of biomedical devices, from defibrillators to electrosurgery units. Throughout, the text incorporates real-life examples of the work that biomedical engineering technologists do. Appendices supply useful information such as normal medical values, a list of regulatory bodies, Internet resources, and information on training programs. Thoroughly revised and updated, this second edition includes more examples and illustrations as well as end-of-chapter questions to test readers’ understanding. This accessible text supplies an essential overview of clinical equipment and the devices that are used directly with patients in the course of their care for diagnostic or treatment purposes. The author’s practical approach and organization, outlining everyday functions and applications of the various medical devices, prepares readers for situations they will encounter on the job. What’s New in This Edition: Revised and updated throughout, including a wider range of devices, full-color anatomy illustrations, and more information about test equipment New, integrated end-of-chapter questions More real-life examples of Biomedical Engineering Technologist (BMET) work, including the adventures of ""Joe Biomed"" and his colleagues New appendices with information about normal medical values, regulatory bodies, educational programs in the United States and Canada, international BMET associations, Internet resources, and lists of test equipment manufacturers More illustrations",Medical,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/4eqsBAAAQBAJ,,http://books.google.com/books/content?id=4eqsBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
Design Elements,A Graphic Style Manual,His,1,9781592532612,1.0,1.0,Tim Samara,Rockport Publishers,2007-04-01,272.0,"The graphic design equivalent to Strunk & White's The Elements of Style This book is simply the most compact and lucid handbook available outlining the basic principles of layout, typography, color usage, and space. Being a creative designer is often about coming up with unique design solutions. Unfortunately, when the basic rules of design are ignored in an effort to be distinctive, design becomes useless. In language, a departure from the rules is only appreciated as great literature if recognition of the rules underlies the text. Graphic design is a ""visual language,"" and brilliance is recognized in designers whose work seems to break all the rules, yet communicates its messages clearly. This book is a fun and accessible handbook that presents the fundamentals of design in lists, tips, brief text, and examples. Chapters include Graphic Design: What It Is; What Are They and What Do They Do?; 20 Basic Rules of Good Design; Form and Space-The Basics; Color Fundamentals; Choosing and Using Type; The World of Imagery; Putting it All Together?Essential Layout Concepts; The Right Design Choices: 20 Reminders for Working Designers; and Breaking the Rules: When and Why to Challenge all the Rules of this Book.",Design,Data Visualisation,,Graphic design (Typography);Layout (Printing),,https://www.googleapis.com/books/v1/volumes/qjZFvgAACAAJ,https://openlibrary.org/books/OL17923155M/Design_elements,http://books.google.com/books/content?id=qjZFvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,686.2/2
"Visual Miscellaneum: The Bestselling Classic, Revised and Updated",A Colorful Guide to the World's Most Consequential Trivia,His,1,9780062236524,1.0,1.0,David McCandless,Harper Design,2012-10-23,256.0,"The bestselling classic has been revised and updated! A colorful guide to the world's most consequential trivia, The Visual Miscellaneum now includes 18 all new graphs and 23 updated ones. It is a reference book like no other helping us make sense of our world by putting the data we are bombarded with every day—health findings, technological advances, cultural touch points, war statistics—into creative visual perspective. Using cutting edge graphs, charts, and illustrations, author David McCandless creatively visualizes the world’s most surprising relationships and compelling data.",Reference,Data Visualisation,,Internet Archive Wishlist,,https://www.googleapis.com/books/v1/volumes/aPw4LgEACAAJ,https://openlibrary.org/books/OL25419483M/The_Visual_Miscellaneum,http://books.google.com/books/content?id=aPw4LgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Truthful Art,"Data, Charts, and Maps for Communication",His,1,9780321934079,1.0,1.0,Alberto Cairo,New Riders,2015-12-15,384.0,"The Truthful Art is an introduction to data reasoning and statistical and cartographical representation written for anyone who wishes to communicate effectively, including journalists, graphic designers, scientists, and business professionals. A follow-up to The Functional Art, it goes into the specifics of how to design appealing, credible, and informative infographics and data visualizations. Part 1 in The Truthful Art provides a broad introduction to statistics, written with journalists and designers in mind. Cairo avoids using jargon and formulas, focusing instead on how to manage and interpret data sets, and how to extract stories from them. In Part 2, Cairo gets down to business giving specific advice on how to use charts and maps in infographics and visualization. Readers will learn what kind of statistical charts exist and how to use them correctly; how to talk about maps, with an introduction to cartography terms such as projection, scale, and symbolization; the basics of making maps, including how to create locator maps; and the main kinds of thematic maps (choropleth, isopleth, proportional symbol, etc.) and how to use them. In Part 3, Cairo leaves the classroom and enters the real world with an in-depth look at how information graphics and visualization teams are organized at publications around the world including The New York Times, La Nación (Costa Rica),Estado de São Paulo (Brazil), and more. He also explains how to develop a successful style book for graphics using sample pages from several real style books as examples. Part 4, the last section of the book, features interviews with leading designers of charts and maps including the talented Jer Thorp, Amanda Cox, Ben Fry, and more.",,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/BhdErgEACAAJ,https://openlibrary.org/books/OL26268908M/The_Truthful_Art,http://books.google.com/books/content?id=BhdErgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Functional Art,An Introduction to Information Graphics and Visualization,His,1,9780321834737,1.0,1.0,Alberto Cairo,New Riders Pub,2013,363.0,"Presents an introduction of information graphics and visualization, covering such topics as using color and type, how brains perceive and remember information, and the creative process behind information graphics.",Computers,Data Visualisation,,Internet Archive Wishlist,,https://www.googleapis.com/books/v1/volumes/BiT1ugAACAAJ,https://openlibrary.org/books/OL26091986M/The_Functional_Art,http://books.google.com/books/content?id=BiT1ugAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Presenting Data Effectively,Communicating Your Findings for Maximum Impact,His,1,9781506353128,1.0,1.0,Stephanie D. H. Evergreen,"Sage Publications, Incorporated",2017-06-06,280.0,"Presenting Data Effectively, Second Editionfocuses on the best possible communication strategies for anyone working with data. From students developing a research poster to faculty presenting data findings at a conference, Stephanie Evergreen provides the guiding principles of presenting data in evidence-based ways so that audiences are more engaged and researchers are better understood. The book draws on findings from fields like vision science, cognitive psychology, communications, and graphic design and applies them to the everyday reporting and dissemination taking place in higher education and the professional world. Principles related to graphics, color, placement, and typeface are illustrated through before-and-after cases submitted to and developed by the author, primarily using the standard software in Microsoft Office. The Second Edition, now in full color, includes the author's most recent thinking and experience, a review of the recent literature on data visualization, and an improved layout with larger screenshots. Presenting Data Effectively teaches how color and text can be applied with graphics and arranged in such a way that posters, slides, graphs, and reports communicate your data effectively. The author's companion book, Effective Data Visualization is all about how to choose the right chart for your data and then how to construct it, step by step, using Excel so that it tells your story.",Social Science,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/I0INvgAACAAJ,https://openlibrary.org/books/OL26501202M/Presenting_Data_Effectively,http://books.google.com/books/content?id=I0INvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Effective Data Visualization,The Right Chart for the Right Data,His,1,9781506303055,1.0,,Stephanie D. H. Evergreen,"Sage Publications, Incorporated",2016-05-17,320.0,"Effective Data Visualization: The Right Chart for the Right Data is an easy-to-implement guide that readers can use to quickly determine the best chart type to use, and the best way to format the chart to make their research more useful. The book will include familiar and new graph types, all of which can be made easily, primarily in Excel. Stephanie D. H. Evergreen includes step-by-step instructions with screenshots, and will feature before and after examples of data displays, evaluated through the author's Data Visualization Checklist. Chapters are organized by the kind of stories that can be told about a data set, relying on common research questions and presentation intentions. The chapters will also include categorization by data purpose, using language students see in survey software, such as ""rating scale"" and other common data collection categories, like ""demographics."" Each graph will include a description of the circumstances when the graph type works and when it doesn't. In sum, readers will be able to immediately implement the ideas in the book to vastly improve their ability to communicate their data, and the book will remain a useful reference guide after the first reading.",Social Science,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/JpSljgEACAAJ,,http://books.google.com/books/content?id=JpSljgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Data-Driven Storytelling,,His,1,9781138197107,1.0,,Nathalie Henry Riche;Christophe Hurter;Nicholas Diakopoulos;Sheelagh Carpendale,AK Peters Visualization Series,2018-03-27,296.0,"This book presents an accessible introduction to data-driven storytelling. Resulting from unique discussions between data visualization researchers and data journalists, it offers an integrated definition of the topic, presents vivid examples and patterns for data storytelling, and calls out key challenges and new opportunities for researchers and practitioners.",Digital storytelling,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/qTOsnQAACAAJ,,http://books.google.com/books/content?id=qTOsnQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Best American Infographics 2013,,His,1,9780547973371,1.0,1.0,Gareth Cook,Houghton Mifflin Harcourt,2013,165.0,"Showcases examples of data visualization from 2012 selected from print and electronic media, offering insight into the present-day convergence of art and knowledge as it influences such areas as politics, culture, economics, and science.",Art,Data Visualisation,,Internet Archive Wishlist,,https://www.googleapis.com/books/v1/volumes/Tf9JAQAAQBAJ,https://openlibrary.org/books/OL26179519M/The_Best_American_Infographics_2013,http://books.google.com/books/content?id=Tf9JAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
The Best American Infographics 2014,,His,1,9780547974514,1.0,,Gareth Cook;Nate Silver,Houghton Mifflin Harcourt,2014-10-01,159.0,"Showcases examples of data visualization from the past year, offering insight into the present-day convergence of art and knowledge as it influences such areas as politics, culture, economics, and science.",Art,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/Z73aAgAAQBAJ,,http://books.google.com/books/content?id=Z73aAgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Best American Infographics 2015,,His,1,9780544542709,1.0,,Maria Popova;Gareth Cook,Houghton Mifflin Harcourt,2015-10-06,160.0,"The latest addition to the celebrated Best American series, featuring the most creative and effective visualizations of data from the past year, introduced by Brain Pickings creator Maria Popova.""",Art,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/pPKOCgAAQBAJ,,http://books.google.com/books/content?id=pPKOCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
,,His,1,9780544556388,,,,,,,,,Data Visualisation,,,,,,,
London - The Information Capital,100 Maps and Graphics That Will Change How You View the City,His,1,9781846148477,1.0,,James Cheshire;Oliver Uberti,Particular Books,2014,239.0,"When do police helicopters catch criminals? Which borough of London is the happiest? Is ""czesc"" becoming a more common greeting than ""salaam""? Geographer James Cheshire and designer Oliver Uberti could tell you, but they'd rather show you. By combining millions of data points with stunning design, they investigate how flights stack over Heathrow, who lives longest, and where Londoners love to tweet. The result? One hundred portraits of an old city presented in a very new way.",Information visualization,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/vf6hoAEACAAJ,,http://books.google.com/books/content?id=vf6hoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Big Book of Dashboards,Visualizing Your Data Using Real-World Business Scenarios,His,1,9781119282716,1.0,1.0,Steve Wexler;Jeffrey Shaffer;Andy Cotgreave,John Wiley & Sons,2017-04-24,448.0,"""In The Dashboard Book, the authors will lay out a variety of examples of successful dashboards so that the reader can find a scenario that closely matches what he or she is tasked with visualizing""--",Business & Economics,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/5xZGtgEACAAJ,https://openlibrary.org/books/OL26482682M/The_Big_Book_of_Dashboards,http://books.google.com/books/content?id=5xZGtgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Big Book of Dashboards,Visualizing Your Data Using Real-World Business Scenarios,His,1,9781119282716,1.0,1.0,Steve Wexler;Jeffrey Shaffer;Andy Cotgreave,John Wiley & Sons,2017-04-24,448.0,"""In The Dashboard Book, the authors will lay out a variety of examples of successful dashboards so that the reader can find a scenario that closely matches what he or she is tasked with visualizing""--",Business & Economics,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/5xZGtgEACAAJ,https://openlibrary.org/books/OL26482682M/The_Big_Book_of_Dashboards,http://books.google.com/books/content?id=5xZGtgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Big Book of Dashboards,Visualizing Your Data Using Real-World Business Scenarios,His,1,9781119282716,1.0,1.0,Steve Wexler;Jeffrey Shaffer;Andy Cotgreave,John Wiley & Sons,2017-04-24,448.0,"""In The Dashboard Book, the authors will lay out a variety of examples of successful dashboards so that the reader can find a scenario that closely matches what he or she is tasked with visualizing""--",Business & Economics,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/5xZGtgEACAAJ,https://openlibrary.org/books/OL26482682M/The_Big_Book_of_Dashboards,http://books.google.com/books/content?id=5xZGtgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Big Book of Dashboards,Visualizing Your Data Using Real-World Business Scenarios,His,1,9781119282716,1.0,1.0,Steve Wexler;Jeffrey Shaffer;Andy Cotgreave,John Wiley & Sons,2017-04-24,448.0,"""In The Dashboard Book, the authors will lay out a variety of examples of successful dashboards so that the reader can find a scenario that closely matches what he or she is tasked with visualizing""--",Business & Economics,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/5xZGtgEACAAJ,https://openlibrary.org/books/OL26482682M/The_Big_Book_of_Dashboards,http://books.google.com/books/content?id=5xZGtgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
How to Lie with Maps,,His,1,9780226534213,1.0,1.0,Mark Monmonier,University of Chicago Press,1996-05-01,207.0,"Originally published to wide acclaim, this lively, cleverly illustrated essay on the use and abuse of maps teaches us how to evaluate maps critically and promotes a healthy skepticism about these easy-to-manipulate models of reality. Monmonier shows that, despite their immense value, maps lie. In fact, they must. The second edition is updated with the addition of two new chapters, 10 color plates, and a new foreword by renowned geographer H. J. de Blij. One new chapter examines the role of national interest and cultural values in national mapping organizations, including the United States Geological Survey, while the other explores the new breed of multimedia, computer-based maps. To show how maps distort, Monmonier introduces basic principles of mapmaking, gives entertaining examples of the misuse of maps in situations from zoning disputes to census reports, and covers all the typical kinds of distortions from deliberate oversimplifications to the misleading use of color. ""Professor Monmonier himself knows how to gain our attention; it is not in fact the lies in maps but their truth, if always approximate and incomplete, that he wants us to admire and use, even to draw for ourselves on the facile screen. His is an artful and funny book, which like any good map, packs plenty in little space.""—Scientific American ""A useful guide to a subject most people probably take too much for granted. It shows how map makers translate abstract data into eye-catching cartograms, as they are called. It combats cartographic illiteracy. It fights cartophobia. It may even teach you to find your way. For that alone, it seems worthwhile.""—Christopher Lehmann-Haupt, The New York Times "". . . witty examination of how and why maps lie. [The book] conveys an important message about how statistics of any kind can be manipulated. But it also communicates much of the challenge, aesthetic appeal, and sheer fun of maps. Even those who hated geography in grammar school might well find a new enthusiasm for the subject after reading Monmonier's lively and surprising book.""—Wilson Library Bulletin ""A reading of this book will leave you much better defended against cheap atlases, shoddy journalism, unscrupulous advertisers, predatory special-interest groups, and others who may use or abuse maps at your expense.""—John Van Pelt, Christian Science Monitor ""Monmonier meets his goal admirably. . . . [His] book should be put on every map user's 'must read' list. It is informative and readable . . . a big step forward in helping us to understand how maps can mislead their readers.""—Jeffrey S. Murray, Canadian Geographic",Reference,Data Visualisation,,Cartography;Deception;Protected DAISY;In library,,https://www.googleapis.com/books/v1/volumes/l2ZflzFk_44C,https://openlibrary.org/books/OL796309M/How_to_Lie_With_Maps,http://books.google.com/books/content?id=l2ZflzFk_44C&printsec=frontcover&img=1&zoom=1&source=gbs_api,526
Data Visualisation,A Handbook for Data Driven Design,His,1,9781473912144,1.0,,Andy Kirk,Sage Publications Limited,2016-06-21,368.0,The first of its kind - a data visualisation book combining beautiful presentation with student-specific guidance and learning features - this resource empowers and inspires readers to be able to present data effectively,,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/00PNrQEACAAJ,,http://books.google.com/books/content?id=00PNrQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Big Book of Dashboards,Visualizing Your Data Using Real-World Business Scenarios,His,1,9781119282716,1.0,1.0,Steve Wexler;Jeffrey Shaffer;Andy Cotgreave,John Wiley & Sons,2017-04-24,448.0,"""In The Dashboard Book, the authors will lay out a variety of examples of successful dashboards so that the reader can find a scenario that closely matches what he or she is tasked with visualizing""--",Business & Economics,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/5xZGtgEACAAJ,https://openlibrary.org/books/OL26482682M/The_Big_Book_of_Dashboards,http://books.google.com/books/content?id=5xZGtgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Big Book of Dashboards,Visualizing Your Data Using Real-World Business Scenarios,His,1,9781119282716,1.0,1.0,Steve Wexler;Jeffrey Shaffer;Andy Cotgreave,John Wiley & Sons,2017-04-24,448.0,"""In The Dashboard Book, the authors will lay out a variety of examples of successful dashboards so that the reader can find a scenario that closely matches what he or she is tasked with visualizing""--",Business & Economics,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/5xZGtgEACAAJ,https://openlibrary.org/books/OL26482682M/The_Big_Book_of_Dashboards,http://books.google.com/books/content?id=5xZGtgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Big Book of Dashboards,Visualizing Your Data Using Real-World Business Scenarios,His,1,9781119282716,1.0,1.0,Steve Wexler;Jeffrey Shaffer;Andy Cotgreave,John Wiley & Sons,2017-04-24,448.0,"""In The Dashboard Book, the authors will lay out a variety of examples of successful dashboards so that the reader can find a scenario that closely matches what he or she is tasked with visualizing""--",Business & Economics,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/5xZGtgEACAAJ,https://openlibrary.org/books/OL26482682M/The_Big_Book_of_Dashboards,http://books.google.com/books/content?id=5xZGtgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Big Book of Dashboards,Visualizing Your Data Using Real-World Business Scenarios,His,1,9781119282716,1.0,1.0,Steve Wexler;Jeffrey Shaffer;Andy Cotgreave,John Wiley & Sons,2017-04-24,448.0,"""In The Dashboard Book, the authors will lay out a variety of examples of successful dashboards so that the reader can find a scenario that closely matches what he or she is tasked with visualizing""--",Business & Economics,Data Visualisation,,,,https://www.googleapis.com/books/v1/volumes/5xZGtgEACAAJ,https://openlibrary.org/books/OL26482682M/The_Big_Book_of_Dashboards,http://books.google.com/books/content?id=5xZGtgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Understanding Comics,The Invisible Art,His,1,006097625X,1.0,1.0,Scott McCloud,William Morrow Paperbacks,1993,215.0,"Traces the 3,000 year history of storytelling through pictures, discussing the language and images used.",Art,Storytelling,,"Illustrations;Technique;Cartooning;Comic books, strips;History and criticism;Protected DAISY;Long Now Manual for Civilization",,https://www.googleapis.com/books/v1/volumes/Z1s_AQAAIAAJ,https://openlibrary.org/books/OL7286003M/Understanding_Comics,http://books.google.com/books/content?id=Z1s_AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Making Comics,"Storytelling Secrets of Comics, Manga and Graphic Novels",His,1,9780060780944,1.0,1.0,Scott McCloud,William Morrow Paperbacks,2006-09-05,264.0,"Presents instructions for aspiring cartoonists on the art form's key techniques, sharing concise and accessible guidelines on such principles as capturing the human condition through words and images in a minimalist style.",Art,Storytelling,,"Authorship;Comic books, strips",,https://www.googleapis.com/books/v1/volumes/hZADnwEACAAJ,https://openlibrary.org/books/OL7281604M/Making_Comics,http://books.google.com/books/content?id=hZADnwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
